hf_allenailongformerbase_train_005_965c7f5d: (T([8, 1024, 768], f32), T([8, 1024, 768], f32))
hf_electraforcausallm_train_001_9f6594af: (T([64, 512, 128], f32), T([64, 512, 128], f32))
hf_electraforcausallm_train_011_25f2fdb3: (T([64, 512, 256], f32), T([64, 512, 256], f32))
hf_electraforcausallm_train_011_9f6594af: (T([64, 512, 128], f32), T([64, 512, 128], f32))
hf_googlefnet_train_001_6b338124: (T([32, 512, 768], f32), T([32, 512, 768], f32))
hf_googlefnet_train_008_6b338124: (T([32, 512, 768], f32), T([32, 512, 768], f32))
hf_gpt2forsequenceclassification_train_001_965c7f5d: (T([8, 1024, 768], f32), T([8, 1024, 768], f32))
hf_gpt2forsequenceclassification_train_008_965c7f5d: (T([8, 1024, 768], f32), T([8, 1024, 768], f32))
hf_gptjforcausallm_train_001_997a630c: (T([1, 128, 4096], f32), T([1, 128, 4096], f32))
hf_gptjforcausallm_train_007_997a630c: (T([1, 128, 4096], f32), T([1, 128, 4096], f32))
hf_gptjforquestionanswering_train_001_997a630c: (T([1, 128, 4096], f32), T([1, 128, 4096], f32))
hf_gptjforquestionanswering_train_007_997a630c: (T([1, 128, 4096], f32), T([1, 128, 4096], f32))
hf_gptneoforcausallm_train_001_6f67f9c9: (T([32, 128, 2048], f32), T([32, 128, 2048], f32))
hf_gptneoforcausallm_train_011_6f67f9c9: (T([32, 128, 2048], f32), T([32, 128, 2048], f32))
hf_gptneoforsequenceclassification_train_001_6f67f9c9: (T([32, 128, 2048], f32), T([32, 128, 2048], f32))
hf_gptneoforsequenceclassification_train_011_6f67f9c9: (T([32, 128, 2048], f32), T([32, 128, 2048], f32))
hf_layoutlmformaskedlm_train_001_6b338124: (T([32, 512, 768], f32), T([32, 512, 768], f32))
hf_layoutlmformaskedlm_train_009_6b338124: (T([32, 512, 768], f32), T([32, 512, 768], f32))
hf_m2m100forconditionalgeneration_train_009_61360478: (T([64, 128, 1024], f32), T([64, 128, 1024], f32))
hf_m2m100forconditionalgeneration_train_011_61360478: (T([64, 128, 1024], f32), T([64, 128, 1024], f32))
hf_m2m100forconditionalgeneration_train_020_61360478: (T([64, 128, 1024], f32), T([64, 128, 1024], f32))
hf_m2m100forconditionalgeneration_train_030_61360478: (T([64, 128, 1024], f32), T([64, 128, 1024], f32))
hf_mbartforcausallm_train_007_b55ee8e9: (T([8, 1024, 1024], f32), T([8, 1024, 1024], f32))
hf_mbartforcausallm_train_012_b55ee8e9: (T([8, 1024, 1024], f32), T([8, 1024, 1024], f32))
hf_megatronbertforcausallm_train_001_4c5e3186: (T([16, 512, 1024], f32), T([16, 512, 1024], f32))
hf_megatronbertforcausallm_train_008_4c5e3186: (T([16, 512, 1024], f32), T([16, 512, 1024], f32))
hf_mobilebertformaskedlm_train_014_56704436: (T([256, 128, 512], f32), T([256, 128, 512], f32))
torchbench_hf_albert_train_001_7a1066d6: (T([8, 512, 128], f32), T([8, 512, 128], f32))
torchbench_hf_bart_train_011_72b696ba: (T([4, 512, 768], f32), T([4, 512, 768], f32))
torchbench_hf_bart_train_014_72b696ba: (T([4, 512, 768], f32), T([4, 512, 768], f32))
torchbench_hf_bert_large_train_001_cf6cd2fc: (T([4, 512, 1024], f32), T([4, 512, 1024], f32))
torchbench_hf_bert_train_001_72b696ba: (T([4, 512, 768], f32), T([4, 512, 768], f32))
torchbench_hf_distilbert_train_001_180c0d2f: (T([8, 512, 768], f32), T([8, 512, 768], f32))
torchbench_hf_gpt2_large_train_002_485886b9: (T([4, 512, 1280], f32), T([4, 512, 1280], f32))
torchbench_hf_gpt2_train_002_72b696ba: (T([4, 512, 768], f32), T([4, 512, 768], f32))
torchbench_hf_longformer_train_004_82ce86de: (T([2, 1024, 768], f32), T([2, 1024, 768], f32))
torchbench_hf_longformer_train_005_82ce86de: (T([2, 1024, 768], f32), T([2, 1024, 768], f32))
torchbench_hf_roberta_base_train_001_72b696ba: (T([4, 512, 768], f32), T([4, 512, 768], f32))
torchbench_hf_whisper_train_003_db2ef604: (T([8, 1500, 384], f32), T([8, 1500, 384], f32))
torchbench_nanogpt_train_001_77581d0b: (T([1, 64, 768], f32), T([1, 64, 768], f32))
torchbench_timm_vision_transformer_train_001_b13b44e6: (T([32, 197, 384], f32), T([32, 197, 384], f32))
