hf_allenailongformerbase_train_005_40f7eb36: (T([8, 1024, 768], f32))
hf_gpt2forsequenceclassification_train_001_40f7eb36: (T([8, 1024, 768], f32))
hf_gpt2forsequenceclassification_train_008_40f7eb36: (T([8, 1024, 768], f32))
hf_gptjforcausallm_train_001_091c2bad: (T([1, 128, 4096], f32))
hf_gptjforcausallm_train_007_091c2bad: (T([1, 128, 4096], f32))
hf_gptjforquestionanswering_train_001_091c2bad: (T([1, 128, 4096], f32))
hf_gptjforquestionanswering_train_007_091c2bad: (T([1, 128, 4096], f32))
hf_gptneoforcausallm_train_001_137ebb4a: (T([32, 128, 2048], f32))
hf_gptneoforcausallm_train_011_137ebb4a: (T([32, 128, 2048], f32))
hf_gptneoforsequenceclassification_train_001_137ebb4a: (T([32, 128, 2048], f32))
hf_gptneoforsequenceclassification_train_011_137ebb4a: (T([32, 128, 2048], f32))
hf_layoutlmformaskedlm_train_001_c513df6d: (T([32, 512, 768], f32))
hf_layoutlmformaskedlm_train_009_c513df6d: (T([32, 512, 768], f32))
hf_m2m100forconditionalgeneration_train_009_81d159cc: (T([64, 128, 1024], f32))
hf_m2m100forconditionalgeneration_train_011_81d159cc: (T([64, 128, 1024], f32))
hf_m2m100forconditionalgeneration_train_020_81d159cc: (T([64, 128, 1024], f32))
hf_m2m100forconditionalgeneration_train_030_81d159cc: (T([64, 128, 1024], f32))
hf_mbartforcausallm_train_007_72667241: (T([8, 1024, 1024], f32))
hf_mbartforcausallm_train_012_72667241: (T([8, 1024, 1024], f32))
hf_megatronbertforcausallm_train_001_2a6c1dfe: (T([16, 512, 1024], f32))
hf_megatronbertforcausallm_train_008_2a6c1dfe: (T([16, 512, 1024], f32))
hf_mobilebertformaskedlm_train_014_6b24b420: (T([256, 128, 512], f32))
torchbench_hf_albert_train_001_c4d2b80d: (T([8, 512, 128], f32))
torchbench_hf_bart_train_011_4c74f004: (T([4, 512, 768], f32))
torchbench_hf_bart_train_014_4c74f004: (T([4, 512, 768], f32))
torchbench_hf_bert_large_train_001_6777f242: (T([4, 512, 1024], f32))
torchbench_hf_bert_train_001_4c74f004: (T([4, 512, 768], f32))
torchbench_hf_distilbert_train_001_a636d7cf: (T([8, 512, 768], f32))
torchbench_hf_gpt2_large_train_002_e99138ed: (T([4, 512, 1280], f32))
torchbench_hf_gpt2_train_002_4c74f004: (T([4, 512, 768], f32))
torchbench_hf_longformer_train_004_11d2f1b5: (T([2, 1024, 768], f32))
torchbench_hf_longformer_train_005_11d2f1b5: (T([2, 1024, 768], f32))
torchbench_hf_roberta_base_train_001_4c74f004: (T([4, 512, 768], f32))
torchbench_hf_whisper_train_003_5af27dfa: (T([8, 1500, 384], f32))
torchbench_nanogpt_train_001_e0cef463: (T([1, 64, 768], f32))
torchbench_timm_vision_transformer_train_001_165680b5: (T([32, 197, 384], f32))
