family,representative_repro,status,oracle_type,target_outputs,correctness_source,benchmark_status,measured_floor_us,notes
online_softmax_cross_entropy,amax_sum_f0661488d68c,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/amax_sum_f0661488d68c/oracle_cross_entropy_fwd.py
structured_pool_upsample_backward_reduce,sum_34d3dca078b3,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/sum_34d3dca078b3/oracle_multi_output_reduction.py
multi_output_reduction_templates,sum_sum_a7c7ab7bfcf5,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/sum_sum_a7c7ab7bfcf5/oracle_multi_output_reduction.py
structured_pool_upsample_backward_reduce,sum_sum_mean_1dfbbe76c078,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/sum_sum_mean_1dfbbe76c078/oracle_rmsnorm_bwd.py
structured_pool_upsample_backward_reduce,sum_sum_mean_9af96955f8cc,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/sum_sum_mean_9af96955f8cc/oracle_rmsnorm_bwd.py
structured_pool_upsample_backward_reduce,sum_sum_sum_1627b1a3a6f6,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/sum_sum_sum_1627b1a3a6f6/oracle_multi_output_reduction.py
structured_pool_upsample_backward_reduce,sum_sum_sum_3348817ad678,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/sum_sum_sum_3348817ad678/oracle_moe_router_bwd.py
online_softmax_cross_entropy,amax_sum_sum_098a3fee06f9,measured,triton_softmax_scatter_transpose,see oracle scaffold,repro eager outputs,measured_cuda_b200,6.208,SCATTER_REDUCE: true floor; fused softmax-backward+scatter+transpose; oracle_us=6.208; speedup_vs_best=2.856x; canonical-local oracle scaffold: repros/canonical/amax_sum_sum_098a3fee06f9/oracle_online_softmax.py
online_softmax_cross_entropy,amax_sum_sum_6be3e54433a2,measured,triton_scatter_softmax_backward,see oracle scaffold,repro eager outputs,measured_cuda_b200,7.008,SCATTER_REDUCE: true floor; fused softmax-backward+scatter+pad; oracle_us=7.008; speedup_vs_best=3.584x; canonical-local oracle scaffold: repros/canonical/amax_sum_sum_6be3e54433a2/oracle_online_softmax.py
tiny_graphlet_horizontal_fusion,pointwise_69b13df5a532,measured,triton_silu_f16,see oracle scaffold,repro eager outputs,measured_cuda_b200,6.08,BAD_ORACLE: compile beats oracle; at launch floor; 3072 f16 elements; no real gap; canonical-local oracle scaffold: repros/canonical/pointwise_69b13df5a532/oracle_silu.py
tiny_graphlet_horizontal_fusion,pointwise_9efa43391431,measured,triton_fill_neg_zero,see oracle scaffold,repro eager outputs,measured_cuda_b200,4.83,AT_FLOOR: oracle matches compile within noise; 4096 f16 constant fill; no real gap; canonical-local oracle scaffold: repros/canonical/pointwise_9efa43391431/oracle_constant_select.py
tiny_graphlet_horizontal_fusion,pointwise_ef7782270e46,measured,triton_sigmoid_backward,see oracle scaffold,repro eager outputs,measured_cuda_b200,5.18,AT_FLOOR: oracle matches compile within noise; 1024 f32 elements; no real gap; canonical-local oracle scaffold: repros/canonical/pointwise_ef7782270e46/oracle_sigmoid_backward.py
tiny_graphlet_horizontal_fusion,pointwise_f9aca3f32296,measured,triton_le_zero,see oracle scaffold,repro eager outputs,measured_cuda_b200,5.28,AT_FLOOR: compile marginally beats oracle; 2048 f32->bool elements; no real gap; canonical-local oracle scaffold: repros/canonical/pointwise_f9aca3f32296/oracle_relu_le.py
