rank,repro_id,family,closure_status,owner,oracle_status,oracle_path,oracle_us,best_compile_us,memcopy_sol_us,launch_adjusted_gap,priority_score_3us,inductor_gap_close_track,gating_strategy,next_action,notes,writeup_path
14,amax_sum_f0661488d68c,online_softmax_cross_entropy,writeup_ready_needs_oracle_measurement,Averroes,oracle_scaffolded,repros/canonical/amax_sum_f0661488d68c/oracle_cross_entropy_fwd.py,,2225.055932998657,625.5040168762207,3.540241387887368,2922.888296054479,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,,investigation_results/inductor_writeups/per_repro/amax_sum_f0661488d68c.md
15,sum_sum_a7c7ab7bfcf5,multi_output_reduction_templates,writeup_ready_needs_oracle_measurement,Averroes,oracle_scaffolded,repros/canonical/sum_sum_a7c7ab7bfcf5/oracle_multi_output_reduction.py,,1353.7280559539795,242.3039972782135,5.141312209262046,2706.4846813095714,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,,investigation_results/inductor_writeups/per_repro/sum_sum_a7c7ab7bfcf5.md
16,sum_34d3dca078b3,structured_pool_upsample_backward_reduce,writeup_ready_needs_oracle_measurement,Averroes,oracle_scaffolded,repros/canonical/sum_34d3dca078b3/oracle_multi_output_reduction.py,,1060.7999563217163,140.0959938764572,6.974542387903857,2654.019871527135,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,,investigation_results/inductor_writeups/per_repro/sum_34d3dca078b3.md
17,pointwise_70c0751eb408,layout_indexing_stencil_fusion,writeup_ready_needs_oracle_measurement,Maxwell,implemented,repros/canonical/pointwise_70c0751eb408/oracle_stencil_canonicalized.py,,939.7760033607484,74.49600100517273,3.411214681635625,2429.326467397409,slice_scatter/select_scatter elision and stencil canonicalization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,1.25x measured via slice_scatter_elision pass,,investigation_results/inductor_writeups/per_repro/pointwise_70c0751eb408.md
18,sum_sum_8bcd6e12dcd4,structured_pool_upsample_backward_reduce,writeup_ready_needs_oracle_measurement,Averroes,queued,repros/canonical/sum_sum_8bcd6e12dcd4/oracle_structured_scatter_reduce.py,,782.4320197105408,70.17599791288376,8.87352610949262,2415.258265713888,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,,investigation_results/inductor_writeups/per_repro/sum_sum_8bcd6e12dcd4.md
19,sum_sum_sum_1627b1a3a6f6,structured_pool_upsample_backward_reduce,writeup_ready_needs_oracle_measurement,Averroes,oracle_scaffolded,repros/canonical/sum_sum_sum_1627b1a3a6f6/oracle_multi_output_reduction.py,,1204.095959663391,216.0000056028366,5.017066381473283,2389.84647567664,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_1627b1a3a6f6.md
20,sum_sum_0930bd38b7d1,multi_output_reduction_templates,scope_mismatch_needs_full_scope_oracle,unassigned,scope_mismatch_prototype,,,1253.216028213501,240.06399512290955,4.692568264908714,2351.128627821188,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle; existing oracle measures subset and compile is already faster,classification=SCATTER_REDUCE; prototype precomputes scatter/pool/BN setup and times only reduction+pointwise,investigation_results/inductor_writeups/per_repro/sum_sum_0930bd38b7d1.md
21,amax_sum_4c524f75213e,online_softmax_cross_entropy,scope_mismatch_needs_full_scope_oracle,Averroes,scope_mismatch_prototype,,,867.6159977912903,93.34400296211244,6.138329038437214,2336.0011531482915,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle only if covering full Longformer attention assembly scope,classification=NEW_PATTERN; softmax prototype excludes the dominant Longformer attention assembly work,investigation_results/inductor_writeups/per_repro/amax_sum_4c524f75213e.md
22,amax_sum_amax_2a81770def44,online_softmax_cross_entropy,scope_mismatch_needs_full_scope_oracle,unassigned,scope_mismatch_prototype,,,1219.391942024231,238.5919988155365,4.985412229056019,2294.2348981001924,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle; existing oracle misses dropout/position-bias full repro scope,classification=SCHEDULER_FUSION; prototype excludes surrounding T5 bias/mask/dropout work,investigation_results/inductor_writeups/per_repro/amax_sum_amax_2a81770def44.md
23,sum_b691b8dad90a,multi_output_reduction_templates,not_true_floor_needs_rewrite,unassigned,not_true_floor,,,2091.8400287628174,687.0719790458679,3.018214690547139,2246.756318678203,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle; existing oracle is slower than compile and must not be used as floor,classification=COOPERATIVE_SPLIT_K; current oracle is not a usable floor,investigation_results/inductor_writeups/per_repro/sum_b691b8dad90a.md
24,sum_e00c7291b6ee,multi_output_reduction_templates,not_true_floor_needs_rewrite,unassigned,not_true_floor,,,2984.9600791931152,1248.35205078125,2.385387930862087,2180.335912108637,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle; existing oracle is slower than compile and must not be used as floor,classification=COOPERATIVE_SPLIT_K; current oracle is not a usable floor,investigation_results/inductor_writeups/per_repro/sum_e00c7291b6ee.md
25,var_mean_f0d7c08a0622,norm_template_canonicalization,writeup_ready_needs_oracle_measurement,Averroes,queued,repros/canonical/var_mean_f0d7c08a0622/oracle_norm_template.py,,909.1519713401794,140.03199338912964,5.980004281159312,2043.288890678776,norm/pool composite template recovery,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,,investigation_results/inductor_writeups/per_repro/var_mean_f0d7c08a0622.md
26,sum_sum_sum_70d71fcb0d68,multi_output_reduction_templates,writeup_ready_needs_oracle_measurement,Noether,scaffold_measured_not_floor,repros/canonical/sum_sum_sum_70d71fcb0d68/oracle_cross_dim_reduction.py,6579.374,939.9679899215698,154.52800691127777,5.355088378555368,1991.1699157440569,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,use measured floor / validate correctness if not checked,not a true floor; torch-direct scaffold timing,investigation_results/inductor_writeups/per_repro/sum_sum_sum_70d71fcb0d68.md
27,var_mean_e814c09a1fdb,norm_template_canonicalization,writeup_ready_needs_oracle_measurement,Noether,queued,repros/canonical/var_mean_e814c09a1fdb/oracle_norm_template.py,,1778.6879539489746,594.111979007721,2.9201329398357285,1850.276969108919,norm/pool composite template recovery,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/var_mean_e814c09a1fdb.md
28,sum_3ee4028cab37,structured_pool_upsample_backward_reduce,writeup_ready_oracle_active,Kepler,active_oracle_impl,repros/canonical/sum_3ee4028cab37/oracle_structured_scatter_reduce.py,,651.0720252990723,68.7360018491745,8.064209403326172,1849.9871584466755,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,implement or repair true canonical oracle floor script,,investigation_results/inductor_writeups/per_repro/sum_3ee4028cab37.md
29,var_mean_765fb8f2c85e,norm_template_canonicalization,writeup_ready_oracle_active,Confucius,active_oracle_measurement,repros/canonical/var_mean_765fb8f2c85e/oracle_bn_training_forward.py,,746.4960217475891,99.2640033364296,6.533081285010357,1840.295918297416,norm/pool composite template recovery,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,measure existing canonical oracle on CUDA and log true-vs-scaffold status,,investigation_results/inductor_writeups/per_repro/var_mean_765fb8f2c85e.md
30,sum_7df61c52c7f8,structured_pool_upsample_backward_reduce,writeup_ready_needs_oracle_measurement,Noether,queued,repros/canonical/sum_7df61c52c7f8/oracle_multi_output_reduction.py,,636.9600296020508,69.69600170850754,7.796709952522927,1772.433340958103,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/sum_7df61c52c7f8.md
31,amax_sum_87e1fb077f24,online_softmax_cross_entropy,scope_mismatch_needs_full_scope_oracle,Fermi,scope_mismatch_prototype,,,898.9120125770569,162.78399527072906,4.81257514207335,1755.5529757625975,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle only if covering full Longformer attention assembly scope,classification=NEW_PATTERN; softmax/dropout prototype excludes Longformer attention assembly,investigation_results/inductor_writeups/per_repro/amax_sum_87e1fb077f24.md
32,sum_sum_sum_86dbf5a906db,multi_output_reduction_templates,writeup_ready_needs_oracle_measurement,Fermi,queued,repros/canonical/sum_sum_sum_86dbf5a906db/oracle_multi_output_reduction.py,,1663.9679670333862,549.6640205383301,2.9312549445275806,1751.8999638480616,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_86dbf5a906db.md
33,sum_sum_sum_431633879271,multi_output_reduction_templates,writeup_ready_needs_oracle_measurement,Fermi,queued,repros/canonical/sum_sum_sum_431633879271/oracle_multi_output_reduction.py,,835.4880213737488,150.43200552463531,5.240403384655723,1672.229693479278,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_431633879271.md
34,sum_sum_sum_2c925f59efff,structured_pool_upsample_backward_reduce,writeup_ready_needs_oracle_measurement,Fermi,queued,repros/canonical/sum_sum_sum_2c925f59efff/oracle_multi_output_reduction.py,,477.1519899368286,34.88000109791756,9.023297655635243,1601.1926846241988,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_2c925f59efff.md
35,sum_sum_sum_82a3f0084247,multi_output_reduction_templates,writeup_ready_needs_oracle_measurement,Fermi,queued,repros/canonical/sum_sum_sum_82a3f0084247/oracle_multi_output_reduction.py,,667.4879789352417,96.3200032711029,5.284103559613642,1511.3925974609556,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_82a3f0084247.md
36,sum_617cd87647d6,structured_pool_upsample_backward_reduce,scope_mismatch_needs_full_scope_oracle,Fermi,scope_mismatch_prototype,,,746.2720274925232,129.69599664211273,5.05275731542569,1511.1456909452934,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle; existing oracle only measures sum+fma subset of full graph,classification=SCATTER_REDUCE; prototype excludes full structured pool/upsample backward graph,investigation_results/inductor_writeups/per_repro/sum_617cd87647d6.md
37,amax_sum_68fe981b18dd,online_softmax_cross_entropy,scope_mismatch_needs_full_scope_oracle,Fermi,scope_mismatch_prototype,,,665.5359864234924,93.1520015001297,4.817418344987695,1496.1134786968062,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle only if covering full Longformer attention assembly scope,classification=NEW_PATTERN; softmax/mask prototype excludes Longformer attention assembly,investigation_results/inductor_writeups/per_repro/amax_sum_68fe981b18dd.md
38,amax_sum_amax_68fa105ccaf0,online_softmax_cross_entropy,scope_mismatch_needs_full_scope_oracle,Fermi,scope_mismatch_prototype,,,804.8639893531799,160.67199409008026,4.829029578407634,1483.558041234883,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,rewrite full-scope oracle; existing oracle misses dropout/position-bias full repro scope,classification=SCHEDULER_FUSION; prototype excludes surrounding T5 bias/mask/dropout work,investigation_results/inductor_writeups/per_repro/amax_sum_amax_68fa105ccaf0.md
39,sum_sum_a42eecd58e57,structured_pool_upsample_backward_reduce,writeup_ready_needs_oracle_measurement,Fermi,queued,repros/canonical/sum_sum_a42eecd58e57/oracle_multi_output_reduction.py,,972.7039933204652,233.5039973258972,3.8219595901863146,1478.4531823654818,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/sum_sum_a42eecd58e57.md
40,sum_sum_sum_95dac16d4328,multi_output_reduction_templates,writeup_ready_needs_oracle_measurement,Fermi,queued,repros/canonical/sum_sum_sum_95dac16d4328/oracle_multi_output_reduction.py,,501.5680193901062,51.52000114321709,8.719888898146388,1457.916585071244,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_95dac16d4328.md
41,pointwise_71e3a6c09140,layout_indexing_stencil_fusion,needs_oracle_measurement,Curie,queued,repros/canonical/pointwise_71e3a6c09140/oracle_stencil_fusion.py,,747.4560141563416,140.1280015707016,5.115077234493605,1452.3535177025378,slice_scatter/select_scatter elision and stencil canonicalization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
42,pointwise_8793407401ab,layout_indexing_stencil_fusion,needs_oracle_measurement,Curie,queued,repros/canonical/pointwise_8793407401ab/oracle_stencil_fusion.py,,1609.663963317871,592.8639769554138,2.674464704567483,1452.2261700470076,slice_scatter/select_scatter elision and stencil canonicalization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
43,pointwise_13f26d420251,layout_indexing_stencil_fusion,needs_oracle_measurement,Curie,queued,repros/canonical/pointwise_13f26d420251/oracle_stencil_fusion.py,,640.7679915428162,99.2640033364296,5.918569162380171,1432.6804336239964,slice_scatter/select_scatter elision and stencil canonicalization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
44,sum_sum_sum_db1524bc41dd,multi_output_reduction_templates,needs_oracle_measurement,Curie,queued,repros/canonical/sum_sum_sum_db1524bc41dd/oracle_multi_output_reduction.py,,1529.7600030899048,547.9360222816467,2.7174668924003216,1432.0847943825722,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
45,pointwise_485ad74a8b0e,layout_indexing_stencil_fusion,needs_oracle_measurement,Curie,queued,repros/canonical/pointwise_485ad74a8b0e/oracle_stencil_fusion.py,,796.4159846305847,165.95199704170227,4.713859549313324,1419.7980197587449,slice_scatter/select_scatter elision and stencil canonicalization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
46,sum_sum_a9f6c9204966,multi_output_reduction_templates,needs_oracle_measurement,Curie,queued,repros/canonical/sum_sum_a9f6c9204966/oracle_multi_output_reduction.py,,958.3039879798888,240.447998046875,3.6653712980738704,1390.0593798933392,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
47,sum_sum_74337e6f6544,structured_pool_upsample_backward_reduce,needs_canonical_oracle,Curie,queued,,,2121.632099151612,957.3439955711364,2.188729809897412,1322.9018624789194,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
48,sum_sum_ba803596a087,structured_pool_upsample_backward_reduce,needs_canonical_oracle,Curie,queued,,,3373.91996383667,1856.511950492859,1.8085759048315384,1299.9930104820305,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
49,sum_9ba8ffa3e0fb,structured_pool_upsample_backward_reduce,needs_canonical_oracle,Curie,queued,,,1145.792007446289,371.616005897522,2.9183527676794614,1223.5047640187431,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
50,sum_7ee057acd9bc,structured_pool_upsample_backward_reduce,needs_canonical_oracle,Curie,queued,,,446.4319944381714,52.000001072883606,6.9754997961605,1186.2493045334056,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
51,sum_sum_sum_8fe65349c733,multi_output_reduction_templates,needs_canonical_oracle,Curie,queued,,,667.3920154571533,133.59999656677246,4.234721002512146,1183.0307284754683,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
52,var_mean_var_mean_6d7a29cb97f1,norm_template_canonicalization,needs_canonical_oracle,Curie,queued,,,442.4000084400177,53.279999643564224,6.776960950606143,1151.6058781939105,norm/pool composite template recovery,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
53,sum_sum_sum_4d7a27f102ca,structured_pool_upsample_backward_reduce,needs_canonical_oracle,Curie,queued,,,757.8240036964417,187.26399540901184,3.746707376980238,1120.4474762675843,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
54,pointwise_7f55bac8afd0,layout_indexing_stencil_fusion,needs_canonical_oracle,Curie,queued,,,1081.3440084457395,367.64800548553467,2.894017879315571,1101.4782268978483,slice_scatter/select_scatter elision and stencil canonicalization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
55,sum_sum_sum_ed6c74b5ef96,multi_output_reduction_templates,needs_canonical_oracle,Curie,queued,,,598.0799794197083,117.7920028567314,4.404382930051617,1083.6477802307445,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
56,sum_sum_sum_9d05c4d37c77,multi_output_reduction_templates,needs_canonical_oracle,Curie,queued,,,706.5920233726501,168.73599588871002,3.845691857792728,1080.2779054495193,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
57,pointwise_a14dcfc06344,layout_indexing_stencil_fusion,needs_canonical_oracle,Curie,queued,,,353.11999917030334,38.84800150990486,7.873706459190057,981.613950510427,slice_scatter/select_scatter elision and stencil canonicalization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
58,sum_sum_2a2b5ec72fea,structured_pool_upsample_backward_reduce,needs_canonical_oracle,Curie,queued,,,872.4160194396973,273.4079957008362,3.024937007449159,977.6065541875904,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
59,sum_sum_145a8857ebf2,structured_pool_upsample_backward_reduce,needs_canonical_oracle,Curie,queued,,,649.1519808769226,158.52800011634827,3.615881536340967,955.1299893356152,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create canonical oracle scaffold,,
