queue_rank,repro_dir,pattern_hash,kind,family,n_points,n_models,total_occurrences,old_oracle_candidates,status,owner,notes
30,pointwise_795cdbe23b17,795cdbe23b17,pointwise,layout_indexing_stencil_fusion,25,4,110,pointwise_69b13df5a532,needs_work,codex,needs_work: B200 bench 1GOOD 10AT_FLOOR 14BAD_ORACLE (ratios 0.89-0.95); oracle marginally slower at floor on 14 pts; original claim 25AT_FLOOR is more accurate — these are floor noise but per protocol oracle slower = flag
31,sum_851ae8199532,851ae8199532,reduction,reduction_general,2,4,104,,needs_work,Codex,needs_work: B200 bench 1BAD_ORACLE (GPTNeo ratio=0.88 oracle=110us compile=97us) 1AT_FLOOR; oracle slower on one shape; needs retune
32,pointwise_4a3cb5b99475,4a3cb5b99475,pointwise,unclassified_priority_gap,2,2,98,pointwise_63fa86014ca5,oracle_measured,Codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1AT_FLOOR; oracle_us median=31.5us
33,pointwise_8beb9f5d4ff7,8beb9f5d4ff7,pointwise,pointwise,1,1,96,,oracle_measured,Codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=7.0us; correct
34,sum_8a2f10cdd825,8a2f10cdd825,reduction,reduction_general,1,1,96,~sum_fa555e0728c5,claimed,Codex,claimed_2026-06-12_batch_31-35_keep_workers_busy
35,pointwise_02974718a634,02974718a634,pointwise,unclassified_priority_gap,2,1,95,~pointwise_e0498dcba9fe;~pointwise_28fded12b2f4;~pointwise_b673b7143973,oracle_measured,Codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1AT_FLOOR; oracle_us median=45.9us
36,var_mean_da5aa7a47091,da5aa7a47091,reduction,norm_template_canonicalization,4,10,90,var_mean_d22940b03b5c;var_mean_d8fae237d769,claimed,Codex,claimed_2026-06-12_batch_36-40_keep_workers_busy
37,sum_sum_sum_260a107eaf32,260a107eaf32,reduction,reduction_general,6,11,86,,claimed,Codex,claimed_2026-06-12_batch_36-40_keep_workers_busy
38,pointwise_818c3aa59952,818c3aa59952,pointwise,layout_indexing_stencil_fusion,52,18,85,pointwise_557274333bb2,claimed,Codex,claimed_2026-06-12_batch_36-40_keep_workers_busy
39,var_mean_7a2ac1c4841d,7a2ac1c4841d,reduction,norm_template_canonicalization,52,17,85,~var_mean_c0993161a0af,claimed,Codex,claimed_2026-06-12_batch_36-40_keep_workers_busy
40,pointwise_1e6f46231554,1e6f46231554,pointwise,unclassified_priority_gap,4,6,84,pointwise_73d2b3dfee0b,oracle_measured,Codex,B200_verified_2026-06-12: check 4/4 PASS; bench 3GOOD 1AT_FLOOR; oracle_us median=7.5us
41,var_mean_393456b916a6,393456b916a6,reduction,norm_template_canonicalization,5,11,83,var_mean_1fad4754680a;var_mean_3711a161734e,claimed,Codex,claimed_2026-06-12_batch_41-45_topdown
42,pointwise_255caf07ee83,255caf07ee83,pointwise,unclassified_priority_gap,7,10,82,pointwise_34eff5d070b5;pointwise_c91baf62713c,oracle_measured,Codex,B200_verified_2026-06-12: check 7/7 PASS; bench 6GOOD 1AT_FLOOR; oracle_us median=10.21us
43,pointwise_81485f33f5b9,81485f33f5b9,pointwise,layout_indexing_stencil_fusion,21,10,82,pointwise_f2b2f0c4db0c,claimed,Codex,claimed_2026-06-12_batch_41-45_topdown
44,pointwise_dadf1b0b8097,dadf1b0b8097,pointwise,unclassified_priority_gap,7,10,82,pointwise_7491ce9dcf71,oracle_measured,Codex,B200_verified_2026-06-12: check 7/7 PASS; bench 5GOOD 1AT_FLOOR 1BAD(0.89x floor noise); oracle_us median=11.01us
45,var_mean_0c1c9fc832f4,0c1c9fc832f4,reduction,norm_template_canonicalization,21,7,82,~var_mean_323ce31f395b,oracle_measured,Codex,oracle_py_added_checks_pass_21of21_h100_fallback_bench_no_warnings_20GOOD_1AT_FLOOR_class_COOPERATIVE_SPLIT_K_needs_B200_verify
46,sum_sum_2a737da66d69,2a737da66d69,reduction,reduction_general,21,7,80,,oracle_measured,codex,B200_verified_2026-06-12: check 21/21 PASS; bench 18GOOD 2AT_FLOOR 1BAD(0.92x); oracle_us median=35.65us
47,pointwise_b3f01ad9586c,b3f01ad9586c,pointwise,unclassified_priority_gap,1,4,78,pointwise_49473bb3f273,oracle_measured,codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=6.30us
48,pointwise_320d8d15d623,320d8d15d623,pointwise,unclassified_priority_gap,3,3,76,pointwise_17542057506f;pointwise_2babaf917a12;pointwise_b51064ab890f,oracle_measured,codex,B200_verified_2026-06-12: check 3/3 PASS; bench 2GOOD 1BAD(0.92x); oracle_us median=9.02us
49,pointwise_0aaf589f7fad,0aaf589f7fad,pointwise,unclassified_priority_gap,3,5,72,pointwise_8b4411ef8328;pointwise_e31a9c1b437e,oracle_measured,codex,B200_verified_2026-06-12: check 3/3 PASS; bench 2GOOD 1AT_FLOOR; oracle_us median=6.98us
50,pointwise_4042d49bf67b,4042d49bf67b,pointwise,unclassified_priority_gap,4,4,72,~pointwise_a718233d708d;~pointwise_43877c71f0eb;~pointwise_75795e2c97dd,oracle_measured,codex,B200_verified_2026-06-12: check 4/4 PASS; bench 1GOOD 2AT_FLOOR 1BAD(0.92x); oracle_us median=7.84us
51,pointwise_5f698ae9321b,5f698ae9321b,pointwise,unclassified_priority_gap,1,1,72,pointwise_e0498dcba9fe,oracle_measured,codex,B200_verified_2026-06-12: check 1/1 PASS; bench 1BAD(0.92x at floor); oracle_us=10.69us
52,pointwise_ae7e5786852b,ae7e5786852b,pointwise,pointwise,1,1,72,,oracle_measured,codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=7.26us
53,sum_sum_sum_4a1fb62e29b0,4a1fb62e29b0,reduction,reduction_general,4,8,72,,needs_work,codex,needs_work: B200 check 3/4 FAIL (BertForMaskedLM_c1e38d67 outputs 3+4 max_diff=16.0) + CUDA crash on ElectraForCausalLM; oracle broken for 2/4 points
54,sum_sum_sum_5fbbe8587abc,5fbbe8587abc,reduction,reduction_general,1,1,72,,oracle_measured,codex,B200_verified_2026-06-12: check 1/1 PASS; bench 1BAD(0.92x at floor); oracle_us=34.46us
55,pointwise_1df91f562302,1df91f562302,pointwise,layout_indexing_stencil_fusion,12,2,70,pointwise_59d71b256016,oracle_measured,codex,B200_verified_2026-06-12: check 12/12 PASS; bench 0GOOD 10AT_FLOOR 2BAD(0.93x/0.90x floor); oracle_us median=34us
56,sum_76fb9946e296,76fb9946e296,reduction,reduction_general,6,9,70,~sum_bd2fed913c26,claimed,Codex,claimed_2026-06-12_batch_56-60_topdown
57,sum_f3f44f50fa4d,f3f44f50fa4d,reduction,multi_output_reduction_templates,6,9,70,~sum_196d0dc5c868,claimed,Codex,claimed_2026-06-12_batch_56-60_topdown
58,pointwise_9595e73ff43b,9595e73ff43b,pointwise,layout_indexing_stencil_fusion,22,4,68,~pointwise_3bd84c5c45de,claimed,Codex,claimed_2026-06-12_batch_56-60_topdown
59,sum_sum_0bad56ceb78f,0bad56ceb78f,reduction,reduction_general,22,4,68,,oracle_measured,Codex,B200_verified_2026-06-12: check 22/22 PASS; bench 20GOOD 2AT_FLOOR; oracle_us median=64us; strong 4.7-8.4x gaps
60,sum_sum_183b124c731f,183b124c731f,reduction,reduction_general,45,17,68,,claimed,Codex,claimed_2026-06-12_batch_56-60_topdown
61,var_mean_2e254a2827d8,2e254a2827d8,reduction,reduction_var_mean,22,4,68,,needs_work,codex,needs_work: B200 3/22 NUMERICS_WORSE output 2 (running var fp64); check 22/22 PASS; oracle_us median=44.32us
62,var_mean_3a2d56cdea00,3a2d56cdea00,reduction,norm_template_canonicalization,3,6,66,var_mean_d22940b03b5c;var_mean_d8fae237d769,needs_work,codex,needs_work: B200 bench 2/3 BAD_ORACLE (DistillGPT2 ratio=0.65 GPT2ForSeq ratio=0.74); only GPTNeo 8.2x good; oracle needs retune for smaller GPT2 shapes
63,pointwise_b89a1eb0b38d,b89a1eb0b38d,pointwise,unclassified_priority_gap,3,4,64,pointwise_17542057506f;pointwise_2babaf917a12;pointwise_b51064ab890f,oracle_measured,codex,B200_verified_2026-06-12: check 3/3 PASS; bench 1GOOD 1AT_FLOOR 1BAD(0.94x marginal); oracle_us median=11us
64,sum_8db0f751a574,8db0f751a574,reduction,reduction_general,5,7,63,,oracle_measured,codex,B200_verified_2026-06-12: check 5/5 PASS; bench 4GOOD 1AT_FLOOR; oracle_us median=46us; strong 2.8-5.0x
65,mean_d28c6a07654f,d28c6a07654f,reduction,unclassified_priority_gap,2,2,60,mean_8b70c08405c1,oracle_measured,codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1AT_FLOOR; oracle_us median=10us; 1.48x on Mistral-7B
66,mean_mean_fdad8a241215,fdad8a241215,reduction,reduction_general,2,2,60,,oracle_measured,codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1BAD(0.94x marginal); oracle_us median=11us
67,pointwise_4e2a690272cd,4e2a690272cd,pointwise,unclassified_priority_gap,2,3,60,pointwise_187bbcc9d7ba,oracle_measured,codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1AT_FLOOR; oracle_us median=7.24us
68,pointwise_7c39bacfff54,7c39bacfff54,pointwise,unclassified_priority_gap,2,2,60,pointwise_391b0009ff83,oracle_measured,codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1AT_FLOOR; oracle_us median=14.93us
69,pointwise_aa77af8fcd54,aa77af8fcd54,pointwise,pointwise,2,2,60,,needs_work,codex,needs_work: B200 1/2 BAD_ORACLE (gemma-2-2b 0.903x); gemma-3-4b GOOD 1.24x; retune for smaller shape
70,sum_785c25a716ed,785c25a716ed,reduction,multi_output_reduction_templates,3,2,60,~sum_ab7572b27d2c;~sum_b8db5e701976,claimed,codex,claimed_2026-06-12_batch_61-70_refill_queue
71,mean_c033ad4c69ca,c033ad4c69ca,reduction,unclassified_priority_gap,2,2,58,mean_ee17938d7aff,oracle_measured,Codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1AT_FLOOR; oracle_us median=10us; 1.45x on Mistral-7B
72,mean_mean_8c30aa48d748,8c30aa48d748,reduction,reduction_general,2,2,58,,oracle_measured,Codex,B200_verified_2026-06-12: check 2/2 PASS; bench 1GOOD 1BAD(0.94x marginal); oracle_us median=11us
73,sum_sum_78f580611c3f,78f580611c3f,reduction,multi_output_reduction_templates,20,4,58,~sum_sum_12bf0466c00c;~sum_sum_7c6679a3489a,oracle_measured,Codex,B200_verified_2026-06-12: check 20/20 PASS; bench 18GOOD 1AT_FLOOR 1BAD(0.92x); oracle_us median=6.52us
74,var_mean_7aed0e0a804f,7aed0e0a804f,reduction,unclassified_priority_gap,20,4,58,~var_mean_035991ff3d2b;~var_mean_a1464365da4f;~var_mean_23f0e798b604,claimed,Codex,claimed_2026-06-12_batch_71-75_topdown
75,var_mean_ffc11133a616,ffc11133a616,reduction,norm_template_canonicalization,20,4,58,var_mean_7fd0d03bbf2d,claimed,Codex,claimed_2026-06-12_batch_71-75_topdown
76,pointwise_9f7dce7fb407,9f7dce7fb407,pointwise,layout_indexing_stencil_fusion,2,6,57,~pointwise_a942dec89d15;~pointwise_e5d19e73a52c;~max_448f6b3c8f1d,oracle_measured,Codex,B200_verified_2026-06-12: check 2/2 PASS; bench 0GOOD 2AT_FLOOR; oracle_us median=5.6us; scalar output floor
77,sum_1fa91878a7ad,1fa91878a7ad,reduction,reduction_general,1,2,56,,oracle_measured,Codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=6.85us
78,sum_sum_c17d298e608e,c17d298e608e,reduction,multi_output_reduction_templates,9,4,56,~sum_sum_8d73a4b5bade;~sum_sum_8e96ea244bf1,oracle_measured,Codex,B200_verified_2026-06-12: check 9/9 PASS; bench 8GOOD 1AT_FLOOR; oracle_us median=6.82us
79,var_mean_d1c3f1a57d33,d1c3f1a57d33,reduction,norm_template_canonicalization,9,4,56,~var_mean_7fd0d03bbf2d;~var_mean_2aeefcdb8c7b;~var_mean_de5dfb8583e7,oracle_measured,Codex,oracle_py_added_checks_pass_9of9_h100_fallback_bench_no_warnings_9GOOD_class_SCHEDULER_FUSION_needs_B200_verify
80,var_mean_f7f800689be3,f7f800689be3,reduction,norm_template_canonicalization,9,4,56,~var_mean_23f0e798b604;~var_mean_9c26314b1282;~var_mean_035991ff3d2b,oracle_measured,Codex,oracle_py_added_checks_pass_9of9_h100_fallback_bench_no_warnings_9GOOD_class_SCHEDULER_FUSION_needs_B200_verify
81,sum_4a4493837e6e,4a4493837e6e,reduction,reduction_general,16,4,55,,oracle_measured,codex,oracle_py_added_checks_pass_16of16_h100_fallback_bench_15GOOD_1AT_FLOOR_no_cudagraph_warnings_needs_B200_measure
82,amax_sum_7bdfc869f56b,7bdfc869f56b,reduction,reduction_softmax_like,1,4,54,~amax_sum_4fb4f9a0bf43,oracle_measured,codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=6.72us
83,amax_sum_9675d6f1ba21,9675d6f1ba21,reduction,reduction_softmax_like,1,2,54,,oracle_measured,codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=6.56us
84,pointwise_1c9e8dc48812,1c9e8dc48812,pointwise,scatter_gather,1,4,54,,needs_work,codex,needs_work_bench_invalid_NUMERICS_WORSE_THAN_COMPILED_eager_bf16_rounding_vs_compiled_fp32_rope_checks_pass_1of1_no_cudagraph_warning_no_timing
85,pointwise_a77badc5e988,a77badc5e988,pointwise,scatter_gather,1,2,54,,needs_work,codex,needs_work_bench_invalid_NUMERICS_WORSE_THAN_COMPILED_nan_fp64_gate_checks_pass_1of1_no_cudagraph_warning_no_timing
86,pointwise_bd0149b22f68,bd0149b22f68,pointwise,scatter_gather,1,2,54,,oracle_measured,codex,oracle_py_added_checks_pass_1of1_h100_fallback_bench_1GOOD_no_cudagraph_warnings_needs_B200_measure
87,pointwise_e52ac85e10fc,e52ac85e10fc,pointwise,layout_indexing_stencil_fusion,1,3,54,pointwise_052e3853c721;pointwise_41aa929b1bf2;pointwise_5aafedcd8ca4,oracle_measured,codex,oracle_py_added_checks_pass_1of1_h100_fallback_bench_1AT_FLOOR_no_cudagraph_warnings_needs_B200_measure
88,var_mean_eac408f45b9d,eac408f45b9d,reduction,unclassified_priority_gap,1,4,54,var_mean_3dd5772aac72,oracle_measured,codex,oracle_py_added_checks_pass_1of1_h100_fallback_bench_1GOOD_no_cudagraph_warnings_needs_B200_measure
89,sum_7cfdb80c54c5,7cfdb80c54c5,reduction,unclassified_priority_gap,23,13,53,~sum_2dab433e3109;~sum_fa194db93388;~sum_035e9c596064,claimed,codex,claimed_2026-06-12_batch_81-95_refill_queue
90,sum_6d68a671ec4a,6d68a671ec4a,reduction,multi_output_reduction_templates,5,10,52,~sum_51676b1433c8;~sum_558522245da0;~sum_587e52500b08,oracle_measured,codex,oracle_py_added_checks_pass_5of5_h100_fallback_bench_4GOOD_1AT_FLOOR_no_cudagraph_warnings_needs_B200_measure
91,sum_sum_sum_c5cdd9ab78b4,c5cdd9ab78b4,reduction,reduction_general,1,2,52,,oracle_measured,codex,oracle_py_added_checks_pass_1of1_h100_fallback_bench_1GOOD_no_cudagraph_warnings_needs_B200_measure
92,var_mean_ec0f56a425b2,ec0f56a425b2,reduction,norm_template_canonicalization,1,2,52,~var_mean_94d545103c46;~var_mean_8f9c444fb5ff;~var_mean_91cae54437d5,claimed,codex,claimed_2026-06-12_batch_81-95_refill_queue
93,pointwise_e6ddc8e897ec,e6ddc8e897ec,pointwise,layout_indexing_stencil_fusion,24,12,51,pointwise_604e62335f7c;pointwise_fc46ae4ec316,claimed,codex,claimed_2026-06-12_batch_81-95_refill_queue
94,var_mean_5a22dd21d88e,5a22dd21d88e,reduction,norm_template_canonicalization,24,12,51,~var_mean_b7d516740b38;~var_mean_bbc2387d0095,claimed,codex,claimed_2026-06-12_batch_81-95_refill_queue
95,pointwise_c509446d4a84,c509446d4a84,pointwise,unclassified_priority_gap,3,4,50,pointwise_9a3b1c27ce63;pointwise_b46f81501f11,oracle_measured,codex,oracle_py_added_checks_pass_3of3_h100_fallback_bench_3GOOD_no_cudagraph_warnings_needs_B200_measure
96,mean_c9e1a8113328,c9e1a8113328,reduction,norm_template_canonicalization,16,4,48,mean_c9e1a8113328,claimed,Codex,claimed_2026-06-12_batch_96-100_topdown
97,pointwise_03afed5ec8e9,03afed5ec8e9,pointwise,layout_indexing_stencil_fusion,1,2,48,~pointwise_7c7235fc35c3;~pointwise_902799b6712e;~pointwise_b9ed7956ee59,needs_work,Codex,needs_work: B200 1/1 BAD_ORACLE (0.934x oracle=13.98us compile=13.06us); needs retune or at_floor
98,pointwise_045f4feb3853,045f4feb3853,pointwise,layout_indexing_stencil_fusion,1,2,48,~pointwise_7c7235fc35c3;~pointwise_9a3b1c27ce63;~pointwise_b46f81501f11,claimed,Codex,claimed_2026-06-12_batch_96-100_topdown
99,pointwise_340cdea6ba6a,340cdea6ba6a,pointwise,unclassified_priority_gap,1,2,48,~pointwise_187bbcc9d7ba,claimed,Codex,claimed_2026-06-12_batch_96-100_topdown
100,pointwise_3ce87c35ea2d,3ce87c35ea2d,pointwise,unclassified_priority_gap,1,2,48,~pointwise_8b4411ef8328;~pointwise_e31a9c1b437e;~pointwise_0decf4e7ecd3,oracle_measured,Codex,oracle_py_added_checks_pass_1of1_h100_fallback_bench_no_warnings_1GOOD_class_NEW_PATTERN_needs_B200_verify
101,pointwise_af569db1d851,af569db1d851,pointwise,unclassified_priority_gap,1,2,48,~pointwise_8b4411ef8328;~pointwise_e31a9c1b437e;~pointwise_0decf4e7ecd3,claimed,Codex,claimed_2026-06-12_batch_101-105_topdown
102,pointwise_ee109ecb96bb,ee109ecb96bb,pointwise,unclassified_priority_gap,1,2,48,~pointwise_73d2b3dfee0b,oracle_measured,Codex,oracle_py_added_checks_pass_1of1_h100_fallback_bench_no_warnings_1AT_FLOOR_class_NEW_PATTERN_needs_B200_verify
103,pointwise_f22251f83eba,f22251f83eba,pointwise,unclassified_priority_gap,2,1,48,~pointwise_187bbcc9d7ba,claimed,Codex,claimed_2026-06-12_batch_101-105_topdown
104,var_mean_749a69fc18a5,749a69fc18a5,reduction,unclassified_priority_gap,1,2,48,~var_mean_40d5a5a49ffd;~var_mean_b3ec7ad4195e;~var_mean_c97d1570c0ff,oracle_measured,Codex,oracle_py_added_checks_pass_1of1_h100_fallback_bench_no_warnings_1AT_FLOOR_class_ALGEBRAIC_ELIMINATION_needs_B200_verify
105,amax_sum_12d2bdc64d4b,12d2bdc64d4b,reduction,online_softmax_cross_entropy,1,2,46,~amax_sum_f5fb3a355fc1,claimed,Codex,claimed_2026-06-12_batch_101-105_topdown
106,amax_sum_13a9aaa2eadb,13a9aaa2eadb,reduction,online_softmax_cross_entropy,1,2,46,~amax_sum_4b162354068b;~amax_sum_f5fb3a355fc1,claimed,Codex,claimed_2026-06-12_batch_106-110_topdown
